日期,类型,价格,实际价格,数量,金额,手续费,原因,收入,印花税,盈亏,盈亏率,成本价
2025-04-07,sell,29.050970948999993,29.02191997805099,33400,,290.79963818007093,stop_loss,969332.1272669032,969.3321272669032,-54321.37649854366,-5.313158123500009,30.610579999999995
2025-01-27,buy,30.58,30.610579999999995,33400,1022393.3719999999,306.71801159999995,signal,,,,,
2025-01-24,sell,30.048469951499992,30.018421481548494,34100,,307.08845175624106,stop_loss,1023628.1725208036,1023.6281725208037,-57364.12710347329,-5.31315812350001,31.661629999999995
2025-01-03,buy,31.63,31.661629999999995,34100,1079661.5829999999,323.89847489999994,signal,,,,,
2025-01-02,sell,32.660967338999995,32.628306371661,33100,,323.9990822705937,stop_loss,1079996.940901979,1079.996940901979,-60523.033121193526,-5.3131581235000045,34.41438
2024-12-30,buy,34.38,34.41438,33100,1139115.9780000001,341.7347934,signal,,,,,
2024-10-08,sell,38.72,38.68128,29500,,342.329328,signal,1141097.76,1141.09776,381296.77291199996,50.28193899558385,25.705679999999997
2024-08-26,buy,25.68,25.705679999999997,29500,758317.5599999999,227.49526799999995,signal,,,,,
2024-08-19,sell,26.362473637499996,26.336111163862494,28900,,228.3340837906878,stop_loss,761113.6126356261,761.1136126356262,-42652.81006080017,-5.313158123500013,27.777749999999997
2024-07-08,buy,27.75,27.777749999999997,28900,802776.975,240.83309249999996,signal,,,,,
2024-07-05,sell,28.594971405,28.566376433595,28100,,240.81455333520583,stop_loss,802715.1777840195,802.7151777840195,-44984.16194709961,-5.313158123499987,30.1301
2024-06-24,buy,30.1,30.1301,28100,846655.8099999999,253.99674299999995,signal,,,,,
2024-06-20,sell,31.862968136999992,31.831105168862994,26600,,254.01221924752667,stop_loss,846707.3974917557,846.7073974917557,-47449.48612498352,-5.313158123500005,33.573539999999994
2024-06-11,buy,33.54,33.573539999999994,26600,893056.1639999999,267.91684919999994,signal,,,,,
2024-06-07,sell,34.199965799999994,34.165765834199995,26200,,268.54291945681194,stop_loss,895143.0648560398,895.1430648560398,-50163.82112827292,-5.313158123500008,36.035999999999994
2024-05-28,buy,36.0,36.035999999999994,26200,944143.1999999998,283.2429599999999,signal,,,,,
2024-05-27,sell,36.37546362449999,36.33908816087549,26000,,283.4448876548288,stop_loss,944816.2921827628,944.8162921827628,-52947.508997074794,-5.3131581235000205,38.328289999999996
2024-05-20,buy,38.29,38.328289999999996,26000,996535.5399999999,298.96066199999996,signal,,,,,
