日期,类型,价格,实际价格,数量,金额,手续费,原因,收入,印花税,盈亏,盈亏率,成本价
2025-10-28,sell,50.27,50.219730000000006,89100,,1342.3733829000003,signal,4474577.943000001,4474.577943000001,2417411.691674101,117.84495656951752,23.022999999999996
2025-07-30,buy,23.0,23.022999999999996,89100,2051349.2999999996,615.4047899999998,signal,,,,,
2025-03-27,sell,29.269470730499993,29.240201259769492,70300,,616.6758445685385,stop_loss,2055586.1485617952,2055.586148561795,-115195.0564313347,-5.313158123500012,30.840809999999994
2025-03-26,buy,30.81,30.840809999999994,70300,2168108.9429999995,650.4326828999998,signal,,,,,
2025-03-25,sell,28.2,28.171799999999998,77100,,651.6137339999999,signal,2172045.78,2172.04578,1007706.7654860001,86.7579374778046,15.06505
2024-12-20,buy,15.05,15.06505,77100,1161515.355,348.45460649999995,signal,,,,,
2024-08-22,sell,10.468989530999998,10.458520541468998,111200,,348.8962452634058,stop_loss,1162987.4842113527,1162.9874842113527,-65173.82351812208,-5.313158123500011,11.031019999999998
2024-08-16,buy,11.02,11.031019999999998,111200,1226649.4239999999,367.9948271999999,signal,,,,,
2024-05-24,sell,14.249985749999999,14.235735764249998,86300,,368.5631989364324,stop_loss,1228543.9964547749,1228.543996454775,-68847.61074061622,-5.313158123500001,15.014999999999999
2024-05-17,buy,15.0,15.014999999999999,86300,1295794.5,388.73834999999997,signal,,,,,
2024-04-24,sell,15.2,15.1848,85500,,389.49011999999993,signal,1298300.4,1298.3003999999999,296973.9694800001,29.70813227868024,11.691679999999998
2024-03-06,buy,11.68,11.691679999999998,85500,999638.6399999998,299.8915919999999,signal,,,,,
