指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_long_period,30,84,47,60,86,95,89,77,31,39
参数_short_period,19,17,17,12,20,6,7,5,14,12
夏普比率,1.955,1.621,1.613,1.038,0.945,0.844,0.788,0.785,0.607,-2.049
总收益率,347.02%,240.05%,237.83%,71.48%,61.52%,53.37%,48.82%,48.81%,36.04%,-17.78%
年化收益率,121.95%,91.87%,91.20%,33.26%,29.08%,25.57%,23.58%,23.57%,17.81%,-9.90%
最大回撤,26.72%,32.19%,32.19%,28.81%,28.81%,28.79%,28.79%,28.79%,24.95%,18.54%
胜率,50.00%,50.00%,66.67%,50.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%
总交易次数,6,2,3,2,2,3,3,3,3,4
盈亏比,14.935,inf,27.044,14.474,0.000,0.000,0.000,0.000,8.992,0.000
卡尔玛比率,4.563,2.854,2.833,1.154,1.010,0.888,0.819,0.819,0.714,-0.534
年化波动率,46.599906500574114,46.904288107577976,46.93322784118986,30.39788545798402,29.615123063806266,29.810229755172557,29.831106771175502,30.00030643838736,31.20907100603822,6.66840269163651
最终资金,4470205.019101428,3400468.373456301,3378265.5341608003,1714780.7623106781,1615242.44993297,1533690.5296161454,1488207.1347474616,1488119.6867515072,1360419.2801895095,822218.1375997222
