指标,值
总收益率,347.02%
年化收益率,121.95%
夏普比率,1.955
卡尔玛比率,4.563
最大回撤,26.72%
年化波动率,46.60%
总交易次数,6
胜率,50.00%
盈亏比,14.935
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"4,470,205"
总盈利,"3,722,092"
总亏损,"249,216"
strategy_name,双均线策略
