报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,间接法-现金及现金等价物净增加额
2019-06-30,,-3.59亿,9.45亿,-18.06亿,4.97亿,9.44亿,,,26.19亿,2.42亿,1.03亿,29.65亿,9.95亿,2.26亿,7.35亿,6321.20万,20.20亿,9.45亿,,10.17亿,3.43亿,2.90万,False,447.96万,13.64亿,19.72亿,10.75亿,False,1.22亿,31.69亿,-18.06亿,,False,False,37.85亿,False,37.85亿,16.23亿,14.34亿,3.36亿,2.31亿,32.88亿,4.97亿,451.72万,-3.59亿,13.03亿,9.44亿,,,5.32亿,-7.90万,1.00亿,4586.27万,False,66.23万,False,-118.09万,10.12亿,-2.33亿,-3.27亿,7829.97万,-1.65亿,-9419.85万,-265.90万,False,9.45亿,,,9.44亿,13.03亿,-3.59亿
2019-03-31,,-2.08亿,4.55亿,-13.82亿,7.31亿,10.95亿,,,11.53亿,1.15亿,6721.15万,13.35亿,4.42亿,1.13亿,3.03亿,2148.62万,8.80亿,4.55亿,,4.48亿,226.34万,2.40万,False,False,4.50亿,11.04亿,7.04亿,False,2401.68万,18.32亿,-13.82亿,,False,False,17.70亿,False,17.70亿,7.02亿,2.70亿,False,6744.83万,10.39亿,7.31亿,-1138.89万,-2.08亿,13.03亿,10.95亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2018-12-31,,-39.73亿,36.20亿,-311.62亿,235.50亿,13.03亿,,,68.46亿,4.14亿,1.54亿,74.14亿,17.48亿,3.42亿,15.32亿,1.72亿,37.94亿,36.20亿,,49.04亿,1.06亿,208.80万,False,False,50.12亿,34.28亿,326.42亿,False,1.05亿,361.74亿,-311.62亿,,False,False,270.00亿,3.00亿,273.00亿,16.02亿,7.78亿,2.65亿,13.71亿,37.50亿,235.50亿,1892.58万,-39.73亿,52.76亿,13.03亿,,,28.04亿,1383.10万,1.83亿,7805.76万,False,1300.16万,False,876.23万,5.32亿,-5.39亿,-9400.91万,-5750.44万,-8279.96万,4.40亿,3.21亿,False,36.20亿,,,13.03亿,52.76亿,-39.73亿
2018-09-30,,-18.37亿,27.82亿,-57.81亿,10.93亿,34.39亿,,,52.32亿,3.16亿,1.47亿,56.96亿,11.89亿,2.53亿,13.29亿,1.43亿,29.14亿,27.82亿,,30.83亿,7461.83万,151.06万,False,149.29万,31.61亿,26.75亿,62.28亿,False,3877.07万,89.42亿,-57.81亿,,False,False,29.71亿,2.97亿,32.68亿,14.21亿,5.26亿,1.62亿,2.28亿,21.75亿,10.93亿,6912.30万,-18.37亿,52.76亿,34.39亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2018-06-30,,-24.67亿,18.23亿,-42.63亿,1.39亿,28.09亿,,,34.05亿,2.17亿,1.04亿,37.25亿,6.89亿,1.62亿,9.86亿,6406.99万,19.01亿,18.23亿,,21.42亿,5248.32万,100.10万,False,False,21.96亿,16.86亿,47.50亿,False,2305.38万,64.59亿,-42.63亿,,False,False,13.23亿,2.44亿,15.67亿,9.08亿,4.81亿,1.62亿,3904.95万,14.28亿,1.39亿,-1.67亿,-24.67亿,52.76亿,28.09亿,,,15.60亿,307.60万,8299.03万,4354.13万,False,269.60万,False,1686.23万,1.67亿,-3003.03万,2062.79万,-6859.27万,2090.11万,3281.42万,-2886.05万,False,18.23亿,,,28.09亿,52.76亿,-24.67亿
2018-03-31,,-6.26亿,9.67亿,-15.93亿,1.80亿,46.50亿,,,16.19亿,1.24亿,3645.66万,17.79亿,3.07亿,9410.64万,3.88亿,2349.40万,8.13亿,9.67亿,,5.94亿,1266.20万,51.80万,False,False,6.07亿,8.81亿,13.12亿,False,684.71万,22.00亿,-15.93亿,,False,False,6.75亿,920.00万,6.85亿,3.16亿,1.81亿,1.62亿,688.38万,5.04亿,1.80亿,-1.80亿,-6.26亿,52.76亿,46.50亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2017-12-31,,38.08亿,30.95亿,-14.69亿,22.64亿,52.76亿,,,55.32亿,1.80亿,7373.70万,57.86亿,11.31亿,2.42亿,11.23亿,1.95亿,26.91亿,30.95亿,,29.19亿,7466.35万,101.47万,False,False,29.95亿,15.60亿,27.03亿,False,2.02亿,44.64亿,-14.69亿,,16.04亿,False,41.38亿,2666.39万,57.69亿,30.18亿,4.64亿,1.30亿,2318.55万,35.05亿,22.64亿,-8216.27万,38.08亿,14.68亿,52.76亿,,,26.12亿,710.55万,1.69亿,6516.30万,False,1984.50万,False,653.91万,8749.57万,-2662.98万,2125.10万,8641.62万,-627.65万,-2.94亿,3.47亿,False,30.95亿,,,52.76亿,14.68亿,38.08亿
2017-09-30,,10.97亿,21.72亿,-8.76亿,-1.82亿,25.65亿,,,41.25亿,6697.58万,5997.13万,42.51亿,9.02亿,1.79亿,8.50亿,1.48亿,20.80亿,21.72亿,,19.98亿,5860.85万,96.65万,False,500.00万,20.63亿,8.25亿,19.55亿,False,1.59亿,29.39亿,-8.76亿,,False,False,16.29亿,2145.24万,16.50亿,15.49亿,2.71亿,False,1258.34万,18.33亿,-1.82亿,-1601.36万,10.97亿,14.68亿,25.65亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2017-06-30,,5.47亿,11.72亿,-2.56亿,-3.78亿,20.16亿,,,23.60亿,1570.07万,3742.38万,24.13亿,5.18亿,1.25亿,5.46亿,5279.45万,12.41亿,11.72亿,,18.42亿,6209.34万,96.60万,False,500.00万,19.10亿,4.61亿,15.49亿,False,1.56亿,21.66亿,-2.56亿,,False,False,9.63亿,612.06万,9.70亿,11.30亿,2.07亿,2.07亿,1123.82万,13.48亿,-3.78亿,1035.88万,5.47亿,14.68亿,20.16亿,,,11.44亿,80.07万,7968.14万,2981.68万,False,13.91万,False,1911.63万,1918.16万,-2758.21万,5943.00万,6704.44万,601.05万,-2.11亿,-1543.74万,False,11.72亿,,,20.16亿,14.68亿,5.47亿
2017-03-31,,1.70亿,6.60亿,-2.30亿,-2.75亿,16.38亿,,,11.49亿,1578.00万,1961.75万,11.84亿,2.38亿,7390.81万,1.97亿,1625.28万,5.25亿,6.60亿,,10.96亿,587.53万,44.68万,False,False,11.02亿,1.78亿,10.38亿,False,1.17亿,13.33亿,-2.30亿,,False,False,1.58亿,125.06万,1.59亿,4.08亿,1465.73万,False,1104.32万,4.34亿,-2.75亿,1555.56万,1.70亿,14.68亿,16.38亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2016-12-31,,9.23亿,17.76亿,-20.54亿,11.14亿,14.68亿,,,33.43亿,4273.58万,3193.07万,34.17亿,7.65亿,1.86亿,5.87亿,1.02亿,16.41亿,17.76亿,,28.62亿,1609.11万,90.46万,3021.28万,363.51万,29.12亿,2.62亿,46.67亿,False,3762.65万,49.67亿,-20.54亿,,1832.62万,False,34.50亿,5870.55万,35.28亿,19.38亿,2.90亿,1.48亿,1.86亿,24.14亿,11.14亿,8738.83万,9.23亿,5.45亿,14.68亿,,,17.87亿,2.66亿,1.62亿,3769.29万,False,896.97万,False,-218.18万,1.13亿,-7131.58万,-5859.82万,8657.83万,-7070.55万,-11.72亿,6.91亿,False,17.76亿,,,14.68亿,5.45亿,9.23亿
2016-09-30,,6.03亿,12.55亿,-3.90亿,-3.01亿,11.49亿,,,23.91亿,2607.08万,3070.93万,24.48亿,5.90亿,1.37亿,3.99亿,6579.79万,11.93亿,12.55亿,,10.77亿,363.00万,35.37万,8221.28万,353.76万,11.66亿,9043.90万,14.43亿,False,2244.98万,15.56亿,-3.90亿,,1832.62万,False,8.87亿,1.35亿,10.41亿,7.30亿,2.67亿,1.48亿,3.45亿,13.41亿,-3.01亿,3887.61万,6.03亿,5.45亿,11.49亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2016-06-30,,3.24亿,9.12亿,-1.34亿,-4.79亿,8.69亿,,,15.85亿,2029.78万,1374.63万,16.19亿,3.09亿,8842.14万,2.71亿,3881.39万,7.07亿,9.12亿,,7.46亿,322.23万,13.79万,False,352.93万,7.52亿,6826.28万,8.15亿,False,279.83万,8.86亿,-1.34亿,,False,False,5.06亿,3306.89万,5.39亿,6.17亿,2.63亿,1.48亿,1.38亿,10.18亿,-4.79亿,2397.60万,3.24亿,5.45亿,8.69亿,,,8.62亿,475.02万,7898.58万,1472.90万,False,-2.71万,251.90万,-510.21万,3351.08万,-1350.00万,7166.52万,4969.72万,-4446.28万,-2.31亿,8908.83万,False,9.12亿,,,8.69亿,5.45亿,3.24亿
2016-03-31,,1.25亿,4.12亿,-7041.33万,-2.36亿,6.70亿,,,6.47亿,832.99万,1102.89万,6.66亿,1.31亿,4604.24万,5316.51万,2403.42万,2.54亿,4.12亿,,3.63亿,70.53万,9.68万,False,252.44万,3.66亿,3177.03万,4.04亿,False,96.95万,4.37亿,-7041.33万,,False,False,1.16亿,9738.16万,2.14亿,3.84亿,1377.98万,False,5232.32万,4.50亿,-2.36亿,1959.18万,1.25亿,5.45亿,6.70亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2015-12-31,,1.11亿,6.60亿,-5.71亿,7710.89万,5.45亿,,,16.23亿,3974.74万,2155.24万,16.85亿,6.88亿,1.88亿,9032.00万,5935.31万,10.25亿,6.60亿,,20.75亿,568.24万,195.55万,False,550.23万,20.88亿,1.07亿,21.74亿,3.55亿,2246.51万,26.59亿,-5.71亿,,8419.76万,False,26.01亿,6.36亿,33.21亿,15.40亿,3.29亿,2.21亿,13.75亿,32.44亿,7710.89万,-5523.99万,1.11亿,4.35亿,5.45亿,,,4.26亿,6078.95万,1.30亿,3710.85万,False,487.29万,False,-173.48万,1.20亿,-583.58万,-1.11亿,7318.20万,9364.27万,-2.30亿,6218.84万,False,6.60亿,,,5.45亿,4.35亿,1.11亿
2015-09-30,,2.02亿,4.99亿,-5.42亿,3.12亿,6.36亿,,,11.03亿,3031.67万,2595.53万,11.59亿,4.47亿,1.27亿,4693.80万,3944.62万,6.60亿,4.99亿,,15.21亿,228.35万,65.21万,False,499.17万,15.29亿,6277.17万,16.38亿,3.55亿,1449.56万,20.71亿,-5.42亿,,8419.57万,False,21.29亿,5.85亿,27.98亿,7.30亿,2.90亿,2.27亿,14.66亿,24.86亿,3.12亿,-6716.37万,2.02亿,4.35亿,6.36亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2015-06-30,,1.03亿,3.31亿,-4.12亿,2.13亿,5.38亿,,,7.26亿,1908.66万,1303.18万,7.58亿,2.87亿,8384.55万,3149.82万,2439.35万,4.27亿,3.31亿,,12.05亿,214.00万,1.04万,False,490.00万,12.12亿,4019.01万,12.14亿,3.55亿,1390.97万,16.24亿,-4.12亿,,False,False,7.29亿,5.04亿,12.34亿,4.32亿,2.56亿,2.27亿,3.32亿,10.20亿,2.13亿,-2960.11万,1.03亿,4.35亿,5.38亿,,,1.20亿,153.50万,4581.21万,1312.84万,False,22.20万,False,False,4622.46万,-108.85万,False,False,1406.93万,-1091.22万,1.02亿,False,3.31亿,,,5.38亿,4.35亿,1.03亿
2015-03-31,,4.26亿,1.17亿,3222.97万,3.05亿,8.23亿,,,4.08亿,964.63万,6806.22万,4.86亿,2.42亿,4049.64万,1518.74万,7156.37万,3.69亿,1.17亿,,9.44亿,198.85万,False,False,490.28万,9.51亿,2466.16万,8.94亿,False,False,9.19亿,3222.97万,,False,False,2.10亿,2.85亿,4.95亿,1.66亿,900.62万,False,1451.33万,1.89亿,3.05亿,-2805.21万,4.26亿,3.97亿,8.23亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2014-12-31,,-2.35亿,3.02亿,-31.18亿,26.17亿,4.35亿,,,11.30亿,3973.49万,3128.21万,12.01亿,6.04亿,1.60亿,8538.60万,4953.53万,8.99亿,3.02亿,,7.51亿,1675.06万,44.60万,False,7995.57万,8.48亿,8539.56万,37.14亿,False,1.67亿,39.66亿,-31.18亿,,30.37亿,False,8.78亿,1.58亿,40.74亿,9.86亿,5791.83万,False,4.13亿,14.57亿,26.17亿,-3609.29万,-2.35亿,6.70亿,4.35亿,,,2.82亿,1278.95万,7793.28万,4364.71万,False,6.54万,False,-102.78万,3389.44万,-241.24万,3536.95万,6939.55万,7882.35万,-671.66万,-3.21亿,False,3.02亿,,,4.35亿,6.70亿,-2.35亿
2014-09-30,,3356.67万,1.66亿,-30.87亿,29.62亿,7.15亿,,,7.09亿,3033.47万,5195.86万,7.92亿,4.12亿,1.28亿,5790.83万,2834.41万,6.26亿,1.66亿,,5.65亿,1508.26万,29.36万,False,8042.83万,6.61亿,7521.91万,35.03亿,False,1.70亿,37.48亿,-30.87亿,,30.37亿,False,5.35亿,9640.46万,36.69亿,6.16亿,4647.25万,False,4419.55万,7.06亿,29.62亿,-813.55万,3356.67万,6.81亿,7.15亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2014-06-30,,1.88亿,1.23亿,-28.66亿,28.86亿,8.57亿,,,4.91亿,2134.87万,2433.72万,5.36亿,2.57亿,9344.96万,4442.92万,1816.95万,4.13亿,1.23亿,,2.45亿,98.28万,23.20万,False,2.95亿,5.41亿,5328.60万,30.51亿,False,3.03亿,34.07亿,-28.66亿,,30.37亿,False,3.95亿,707.54万,34.38亿,4.84亿,2370.89万,False,4419.55万,5.52亿,28.86亿,4424.31万,1.88亿,6.70亿,8.57亿,,,4874.42万,-264.94万,4014.71万,2108.09万,False,2.44万,False,False,3965.34万,-139.86万,-2024.44万,4098.11万,972.69万,362.62万,-5631.87万,6.47万,1.23亿,,,8.57亿,6.70亿,1.88亿
2014-03-31,,3.41亿,1.56亿,-28.64亿,30.22亿,3.97亿,,,2.56亿,1077.39万,2.23亿,4.90亿,1.22亿,4722.11万,1480.99万,1.50亿,3.34亿,1.56亿,,False,False,False,False,False,False,2723.82万,27.32亿,False,1.04亿,28.64亿,-28.64亿,,30.37亿,False,2.02亿,165.36万,32.41亿,1.92亿,935.61万,False,1746.92万,2.19亿,30.22亿,2583.79万,3.41亿,5629.66万,3.97亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2013-12-31,,1.38亿,2.23亿,-36.65亿,36.32亿,6.70亿,,,8.28亿,3080.07万,2742.67万,8.86亿,4.18亿,1.37亿,6565.42万,4239.42万,6.63亿,2.23亿,,False,False,231.25万,False,667.82万,899.06万,1.23亿,35.15亿,False,3522.71万,36.74亿,-36.65亿,,36.72亿,False,8.26亿,1.23亿,46.21亿,7.85亿,8718.37万,False,1.17亿,9.89亿,36.32亿,-5206.41万,1.38亿,5.32亿,6.70亿,,,-2.94亿,3552.58万,5576.27万,4016.66万,False,-91.54万,2.01万,680.36万,2879.27万,-129.88万,-1.41亿,4927.95万,1.27亿,-1202.46万,3.28亿,False,2.23亿,,,6.70亿,5.32亿,1.38亿
2013-09-30,,9261.59万,2.48亿,-37.36亿,36.04亿,4.37亿,,,9.54亿,2340.71万,5012.75万,10.28亿,5.91亿,9871.64万,6235.18万,2755.91万,7.80亿,2.48亿,,7434.00万,False,138.57万,False,351.95万,7924.52万,9240.27万,37.19亿,False,369.22万,38.15亿,-37.36亿,,36.82亿,False,5.99亿,561.97万,42.87亿,6.09亿,4254.65万,False,3149.14万,6.83亿,36.04亿,-2424.57万,9261.59万,3.44亿,4.37亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2013-06-30,,-469.40万,1.23亿,-2.04亿,1.07亿,5.27亿,,,4.79亿,1155.06万,942.34万,5.00亿,2.77亿,4852.46万,2788.20万,2320.41万,3.76亿,1.23亿,,False,False,137.64万,False,2218.47万,2356.11万,7551.08万,3.58亿,-3.49亿,1.43亿,2.27亿,-2.04亿,,2562.19万,False,3.14亿,831.51万,3.47亿,1.75亿,3386.40万,False,3236.76万,2.41亿,1.07亿,-3063.64万,-469.40万,5.32亿,5.27亿,,,-1.91亿,532.16万,2076.07万,1464.73万,False,-79.64万,False,339.90万,1733.56万,-73.66万,-1163.33万,949.02万,-1.04亿,88.17万,3.59亿,82.00,1.23亿,,,5.27亿,5.32亿,-469.40万
2013-03-31,,-4.10亿,-1562.32万,-3.68亿,-2673.82万,8409.77万,,,3071.10万,False,348.07万,3419.17万,3687.88万,924.94万,27.57万,341.10万,4981.49万,-1562.32万,,False,False,1.05万,False,48.02万,49.07万,3150.55万,3.34亿,False,239.93万,3.68亿,-3.68亿,,False,False,False,561.97万,561.97万,2109.22万,689.32万,False,437.24万,3235.79万,-2673.82万,21.77万,-4.10亿,4.94亿,8409.77万,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2012-12-31,,1.50亿,-4443.60万,-2.61亿,4.55亿,4.94亿,,,3.70亿,False,1159.89万,3.82亿,3.45亿,4100.97万,2167.20万,1890.90万,4.26亿,-4443.60万,,False,False,7.70万,False,542.60万,550.30万,2.65亿,False,False,162.31万,2.66亿,-2.61亿,,False,False,4.62亿,3327.86万,4.96亿,1500.00万,1980.13万,False,595.79万,4075.92万,4.55亿,21.32万,1.50亿,3.44亿,4.94亿,,,4173.42万,93.38万,1802.96万,110.04万,False,48.22万,False,False,557.09万,-69.37万,11.06万,False,-5008.61万,272.70万,-6434.47万,False,-4443.60万,,,4.94亿,3.44亿,1.50亿
2012-09-30,,-1.60亿,7.90万,-1.95亿,3433.42万,1.84亿,,,2.30亿,76.22万,3544.36万,2.66亿,1.69亿,3233.45万,2015.99万,4463.08万,2.66亿,7.90万,,False,False,16.25万,False,False,16.25万,1.95亿,False,False,1.00万,1.95亿,-1.95亿,,False,False,1.37亿,False,1.37亿,6911.47万,1384.81万,False,1966.20万,1.03亿,3433.42万,False,-1.60亿,3.44亿,1.84亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2012-06-30,,-1.46亿,2130.17万,-1.33亿,-3397.69万,1.98亿,,,1.45亿,76.22万,586.13万,1.51亿,8253.67万,2045.33万,1656.13万,1051.61万,1.30亿,2130.17万,,False,False,16.25万,False,False,16.25万,1.33亿,False,False,False,1.33亿,-1.33亿,,False,False,1889.69万,False,1889.69万,2936.77万,408.56万,False,1942.06万,5287.38万,-3397.69万,False,-1.46亿,3.44亿,1.98亿,,,2175.69万,20.05万,938.32万,55.17万,False,False,9.87万,False,229.65万,-28.55万,24.09万,False,4116.65万,-2582.41万,-2828.26万,False,2130.17万,,,1.98亿,3.44亿,-1.46亿
2012-03-31,,-7242.89万,-1515.64万,-5702.03万,-25.21万,2.72亿,,,7227.68万,False,280.67万,7508.35万,6865.36万,1081.39万,847.31万,229.93万,9023.99万,-1515.64万,,False,False,400.00,False,False,400.00,5702.07万,False,False,False,5702.07万,-5702.03万,,False,False,False,False,False,False,25.21万,False,False,25.21万,-25.21万,False,-7242.89万,3.44亿,2.72亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2011-12-31,,-1.83亿,941.17万,-1.64亿,-2730.53万,3.44亿,,,3.45亿,False,1574.10万,3.61亿,2.75亿,3351.49万,2237.49万,2040.55万,3.51亿,941.17万,,2.00万,1200.00,1600.00,False,324.84万,327.12万,8559.04万,8208.96万,False,False,1.68亿,-1.64亿,,False,False,5468.09万,False,5468.09万,4029.02万,1119.59万,False,3050.01万,8198.62万,-2730.53万,-81.96万,-1.83亿,5.27亿,3.44亿,,,4022.60万,60.06万,1443.56万,107.89万,False,16.31万,False,False,151.39万,-30.86万,23.42万,False,-3976.86万,-5046.11万,4169.77万,False,941.17万,,,3.44亿,5.27亿,-1.83亿
2011-09-30,,-1.17亿,-1302.83万,-1.13亿,827.04万,4.10亿,,,2.28亿,3.41万,1711.57万,2.45亿,2.03亿,2401.59万,1776.05万,1306.24万,2.58亿,-1302.83万,,2.00万,1200.00,21.03万,False,False,23.15万,3073.38万,8208.96万,False,1.00万,1.13亿,-1.13亿,,False,False,1848.34万,False,1848.34万,False,1021.29万,False,False,1021.29万,827.04万,False,-1.17亿,5.27亿,4.10亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2011-06-30,,-1.12亿,-2163.68万,-9932.90万,851.78万,4.15亿,,,1.36亿,False,1512.34万,1.51亿,1.28亿,1472.80万,1376.13万,1696.09万,1.73亿,-2163.68万,,2.00万,1200.00,False,False,False,2.12万,1725.06万,8208.96万,False,1.00万,9935.02万,-9932.90万,,False,False,1848.34万,False,1848.34万,False,996.56万,False,False,996.56万,851.78万,False,-1.12亿,5.27亿,4.15亿,,,1979.66万,112.66万,520.20万,53.95万,False,False,False,False,45.02万,-1200.00,-1.50万,False,2675.51万,-2931.73万,-4617.32万,False,-2163.68万,,,4.15亿,5.27亿,-1.12亿
