日期,开盘,收盘,最高,最低,成交量
2021-01-04,39.95,42.0,42.5,39.46,1190506.57
2021-01-05,42.01,41.8,43.43,40.37,1220395.16
2021-01-06,45.0,44.91,45.98,43.31,1290776.91
2021-01-07,44.51,49.4,49.4,44.51,1441905.48
2021-01-08,51.29,54.34,54.34,48.04,1674824.82
2021-01-11,56.5,52.56,59.5,52.0,1904620.89
2021-01-12,53.0,57.82,57.82,51.21,1400716.99
2021-01-13,60.3,59.5,63.49,57.11,1683915.32
2021-01-14,57.3,54.33,59.14,53.55,1547149.12
2021-01-15,54.02,59.76,59.76,53.74,1517601.66
2021-01-18,56.0,60.89,62.6,55.1,1641935.98
2021-01-19,59.7,61.06,65.6,58.94,1526146.28
2021-01-20,62.89,60.92,63.44,59.0,1136213.39
2021-01-21,60.0,62.7,65.2,58.08,1183290.14
2021-01-22,61.58,63.7,65.35,60.5,1181264.42
2021-01-25,63.28,68.88,70.07,63.02,1488661.39
2021-01-26,68.01,67.6,69.9,65.39,1007976.78
2021-01-27,68.0,67.21,68.8,62.49,942974.85
2021-01-28,64.7,66.6,70.13,64.7,929858.03
2021-01-29,66.42,59.95,67.0,59.94,1434822.52
2021-02-01,62.0,55.1,62.0,54.01,1589124.27
2021-02-02,55.0,57.19,57.78,53.43,1326194.83
2021-02-03,56.56,56.3,59.6,56.1,1254736.23
2021-02-04,55.39,50.67,55.39,50.67,1639850.17
2021-02-05,51.0,49.09,51.56,47.76,1392863.02
2021-02-08,49.7,51.11,51.79,48.23,1174413.75
2021-02-09,51.71,53.06,54.29,50.67,1112709.35
2021-02-10,52.88,51.71,52.9,49.4,1067915.73
2021-02-18,53.98,56.87,56.88,51.93,1438635.35
2021-02-19,55.0,52.7,55.0,51.18,1209803.22
2021-02-22,54.2,52.6,55.88,52.6,1076001.88
2021-02-23,50.9,50.41,52.22,49.19,742440.91
2021-02-24,50.31,46.89,51.4,45.94,982160.02
2021-02-25,48.1,47.96,48.68,46.41,688913.84
2021-02-26,45.01,44.92,46.48,44.29,793592.22
2021-03-01,46.06,46.25,47.01,45.05,577756.36
2021-03-02,46.79,43.25,46.98,41.88,996299.16
2021-03-03,43.33,44.5,45.77,42.54,923941.21
2021-03-04,42.86,40.9,43.1,40.49,829797.54
2021-03-05,40.24,41.16,42.5,40.11,663034.92
2021-03-08,41.3,39.12,41.5,39.06,729452.02
2021-03-09,39.75,39.33,41.07,38.38,836285.62
2021-03-10,40.7,39.18,40.97,38.88,756093.01
2021-03-11,38.61,40.06,40.76,37.91,847548.56
2021-03-12,40.35,38.7,40.72,37.82,838899.03
2021-03-15,39.0,39.77,41.8,38.53,944133.76
2021-03-16,40.21,39.9,40.41,38.0,619536.54
2021-03-17,39.98,42.7,43.68,39.71,1292435.98
2021-03-18,42.3,43.47,43.47,42.2,870305.63
2021-03-19,42.48,42.0,43.18,40.71,817570.78
2021-03-22,41.5,41.49,42.74,40.68,541295.96
2021-03-23,41.58,38.6,41.66,38.0,872666.94
2021-03-24,37.73,36.17,38.39,35.9,748039.61
2021-03-25,35.81,36.42,37.1,35.58,580283.52
2021-03-26,36.42,38.2,38.88,36.23,816209.27
2021-03-29,38.0,37.83,39.0,37.6,554716.87
2021-03-30,37.54,38.65,39.09,36.88,560206.12
2021-03-31,38.83,37.78,39.2,36.9,488814.13
2021-04-01,38.22,38.04,38.66,37.06,471273.64
2021-04-02,34.24,36.72,37.6,34.24,735846.69
2021-04-06,37.29,36.7,37.69,36.3,441488.69
2021-04-07,37.07,36.01,37.28,35.7,481038.54
2021-04-08,35.61,35.72,35.98,34.49,506934.27
2021-04-09,35.82,36.23,37.77,35.21,621125.04
2021-04-12,36.01,33.52,36.49,32.99,691873.39
2021-04-13,33.51,33.9,34.15,33.03,354665.02
2021-04-14,34.24,37.29,37.29,34.24,918736.89
2021-04-15,38.3,39.14,39.77,37.6,1227520.97
2021-04-16,38.89,38.35,38.99,37.6,710901.11
2021-04-19,38.2,42.19,42.19,38.1,974762.46
2021-04-20,41.59,41.58,43.35,41.0,1038214.64
2021-04-21,40.8,41.01,41.42,39.77,762330.8
2021-04-22,41.02,40.41,41.63,39.61,697645.54
2021-04-23,39.9,42.32,43.3,39.9,981707.99
2021-04-26,42.19,40.95,42.98,40.8,762510.95
2021-04-27,40.8,40.75,41.26,39.11,557367.51
2021-04-28,41.0,43.6,44.83,39.9,1298829.44
2021-04-29,43.62,47.35,47.96,43.62,1424222.77
2021-04-30,46.7,48.38,49.44,45.68,1223734.37
2021-05-06,48.38,50.2,51.28,47.0,1081499.7
2021-05-07,49.55,46.9,50.0,46.46,1038986.26
2021-05-10,46.91,50.48,50.5,46.91,951181.94
2021-05-11,49.48,49.37,50.26,46.81,869399.39
2021-05-12,48.61,51.03,52.33,48.05,912380.11
2021-05-13,49.5,52.03,53.3,48.65,980752.72
2021-05-14,52.47,51.97,54.44,50.05,993063.82
2021-05-17,51.16,53.17,54.38,51.16,871170.3
2021-05-18,51.88,50.89,53.16,49.5,1289028.34
2021-05-19,49.6,51.58,53.31,48.22,1135377.43
2021-05-20,49.77,48.71,50.69,48.38,1025603.94
2021-05-21,48.76,50.19,51.58,48.76,854322.18
2021-05-24,51.51,54.11,54.38,51.5,1124581.63
2021-05-25,54.05,54.98,56.04,53.11,981967.3
2021-05-26,54.4,55.08,55.96,53.8,629741.43
2021-05-27,55.39,54.27,55.77,53.77,582150.35
2021-05-28,54.5,55.0,56.88,54.3,857672.42
2021-05-31,54.33,57.0,57.5,54.33,974988.14
2021-06-01,56.3,56.5,57.27,54.6,668213.45
2021-06-02,56.8,55.73,58.27,54.14,761145.75
2021-06-03,55.31,55.74,56.96,53.3,634243.15
2021-06-04,55.0,56.93,58.1,54.58,796157.46
2021-06-07,57.05,58.37,58.93,56.45,667711.53
2021-06-08,57.8,54.5,58.7,54.22,896234.66
2021-06-09,54.89,53.86,56.0,52.56,623200.16
2021-06-10,53.5,55.91,56.36,53.5,648352.83
2021-06-11,55.67,53.88,56.39,53.5,629595.74
2021-06-15,53.6,48.99,54.4,48.49,1274820.84
2021-06-16,48.45,46.86,49.4,46.34,834881.16
2021-06-17,46.6,47.86,48.41,46.4,586100.39
2021-06-18,47.15,51.74,52.65,46.56,1005782.41
2021-06-21,51.25,55.21,56.8,51.21,1079678.81
2021-06-22,57.0,56.77,58.49,55.5,1006689.45
2021-06-23,58.0,62.45,62.45,57.0,1308316.17
2021-06-24,62.51,62.84,64.49,61.55,991695.5
2021-06-25,63.0,62.84,63.26,60.9,794687.85
2021-06-28,62.33,62.7,64.54,61.89,654702.2
2021-06-29,63.53,62.0,64.3,60.49,631229.97
2021-06-30,62.03,62.02,62.9,60.58,726581.73
2021-07-01,63.1,63.6,66.88,61.4,1157069.75
2021-07-02,63.5,66.39,68.57,63.04,1235052.99
2021-07-05,68.64,72.32,72.97,68.3,1277952.12
2021-07-06,72.1,69.48,73.5,65.5,1390558.7
2021-07-07,67.05,70.19,72.0,65.7,1032441.2
2021-07-08,69.7,69.15,73.2,68.6,972016.96
2021-07-09,69.15,74.97,76.0,68.38,1251991.83
2021-07-12,76.41,77.6,79.48,74.9,1370753.2
2021-07-13,76.0,77.18,77.71,74.2,783038.01
2021-07-14,75.91,70.22,75.92,69.9,1177918.48
2021-07-15,72.0,76.9,77.16,71.8,1374519.28
2021-07-16,76.0,74.27,79.6,73.68,980854.4
2021-07-19,74.18,71.83,77.18,70.66,969967.46
2021-07-20,70.0,73.08,73.56,70.0,666942.44
2021-07-21,74.97,80.39,80.39,74.8,1309960.58
2021-07-22,82.3,86.35,87.6,81.5,1215772.69
2021-07-23,86.01,86.7,89.98,82.82,1010356.82
2021-07-26,86.18,95.0,95.0,84.8,1235548.8
2021-07-27,90.9,90.0,98.18,87.86,1241945.11
2021-07-28,87.41,86.14,91.3,81.11,936684.18
2021-07-29,90.43,94.75,94.75,89.07,810310.47
2021-07-30,100.5,104.23,104.23,98.08,1197731.8
2021-08-02,109.5,107.49,114.48,99.99,1323578.27
2021-08-03,105.26,100.0,109.0,96.8,980627.17
2021-08-04,102.1,110.0,110.0,99.0,736168.87
2021-08-05,109.0,111.0,111.98,104.1,841244.82
2021-08-06,114.5,108.7,116.0,107.0,850653.24
2021-08-09,105.02,107.0,108.2,98.31,849818.8
2021-08-10,103.45,101.65,108.09,96.94,953170.26
2021-08-11,103.71,104.54,107.5,101.72,793037.98
2021-08-12,101.0,102.03,104.34,97.06,945018.5
2021-08-13,100.0,102.77,108.52,99.0,818271.29
2021-08-16,101.22,100.16,105.0,98.0,576219.33
2021-08-17,98.7,95.95,101.49,95.1,706765.45
2021-08-18,97.92,100.88,101.99,95.64,669984.2
2021-08-19,99.98,110.97,110.97,99.05,846239.71
2021-08-20,111.0,117.7,119.67,108.52,1079765.51
2021-08-23,120.0,119.2,127.0,114.79,918118.75
2021-08-24,117.1,121.32,124.5,117.1,722379.75
2021-08-25,120.0,122.85,124.07,115.58,639316.39
2021-08-26,122.85,121.11,124.86,119.76,474137.74
2021-08-27,119.92,131.5,133.22,118.77,738384.51
2021-08-30,129.0,135.0,143.17,128.51,907341.33
2021-08-31,133.33,136.25,137.88,129.0,569376.5
2021-09-01,137.01,122.64,139.72,122.63,986684.79
2021-09-02,119.89,123.03,126.41,119.0,638162.7
2021-09-03,119.9,113.13,124.2,110.73,978257.65
2021-09-06,115.0,116.88,117.6,105.99,930999.21
2021-09-07,116.0,117.63,122.0,113.4,724896.95
2021-09-08,115.2,120.03,123.02,114.44,645010.84
2021-09-09,123.5,123.16,128.8,120.85,667263.83
2021-09-10,124.1,128.96,129.5,121.0,684352.28
2021-09-13,129.51,131.71,132.55,124.9,623845.65
2021-09-14,130.0,124.2,130.47,121.0,646113.87
2021-09-15,126.83,127.05,131.23,122.1,758132.17
2021-09-16,124.0,114.35,126.42,114.35,844365.88
2021-09-17,110.75,108.5,113.44,103.0,1058026.92
2021-09-22,106.0,105.41,108.75,104.6,564020.82
2021-09-23,108.24,105.73,109.98,105.16,527538.75
2021-09-24,105.28,104.18,108.8,101.5,629266.32
2021-09-27,105.0,96.18,105.4,93.8,862247.96
2021-09-28,97.03,94.95,97.95,94.3,560125.87
2021-09-29,95.0,96.0,98.5,90.7,833161.06
2021-09-30,98.0,101.58,104.58,97.1,813425.2
2021-10-08,103.8,96.65,103.98,94.62,615946.51
2021-10-11,96.6,95.91,96.6,90.72,574428.57
2021-10-12,94.0,91.39,95.6,89.3,648975.02
2021-10-13,92.04,94.72,95.15,91.5,596490.1
2021-10-14,93.5,95.08,96.37,92.23,456522.43
2021-10-15,95.01,98.3,99.55,91.31,667812.5
2021-10-18,97.99,102.85,103.91,97.36,696919.31
2021-10-19,102.02,103.5,104.38,101.08,459552.89
2021-10-20,102.48,103.5,107.85,101.5,658372.46
2021-10-21,102.0,100.8,103.98,99.95,490388.14
2021-10-22,101.51,96.36,102.08,95.8,633174.31
2021-10-25,93.77,97.42,97.9,93.21,625847.74
2021-10-26,101.0,99.8,104.5,98.63,745111.63
2021-10-27,98.71,97.8,100.77,95.88,531763.49
2021-10-28,97.32,91.83,99.99,90.85,925541.2
2021-10-29,92.7,94.26,94.72,91.9,510455.15
2021-11-01,93.29,89.19,95.88,88.95,784509.01
2021-11-02,90.78,91.06,93.11,89.81,699446.12
2021-11-03,92.99,91.99,93.05,88.65,519655.19
2021-11-04,92.51,91.69,95.4,90.56,716855.15
2021-11-05,93.01,94.98,97.38,92.69,961450.21
2021-11-08,95.2,104.48,104.48,95.2,998401.34
2021-11-09,108.12,108.44,109.45,105.55,899272.52
2021-11-10,107.56,102.17,107.56,100.01,901667.97
2021-11-11,100.98,101.2,102.0,98.79,556353.42
2021-11-12,102.0,101.19,104.2,100.3,414728.67
