指标,值
总收益率,175.89%
年化收益率,71.66%
夏普比率,1.779
卡尔玛比率,3.129
最大回撤,22.90%
年化波动率,33.10%
总交易次数,3
胜率,66.67%
盈亏比,13.169
止损次数,0
止损率,0.00%
初始资金,"1,000,000"
最终资金,"2,758,886"
总盈利,"1,829,410"
总亏损,"69,462"
strategy_name,KDJ+MACD双重确认策略
