SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011200,利息收入,3836204000.0
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011201,融资成本,212447000.0
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011999,除税前溢利,28126653000.0
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012001,税项,4548204000.0
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012002,持续经营业务税后利润,23578449000.0
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012999,除税后溢利,23578449000.0
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004025001,少数股东损益,-79677000.0
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004025002,股东应占溢利,23658126000.0
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004027002,每股基本盈利,0.95
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004027003,每股摊薄盈利,0.93
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004030997,其他全面收益其他项目,760236000.0
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004030999,其他全面收益,760236000.0
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004039999,全面收益总额,24338685000.0
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004040001,非控股权益应占全面收益总额,-69011000.0
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,24407696000.0
01810.HK,01810,小米集团-W,10932245,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004099999,非运算项目,-289346156000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004001001,营业额,256901191000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004001999,营运收入,256901191000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004005002,销售成本,202795887000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004007999,毛利,54105304000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004010001,其他收入,720555000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004010002,其他收益,709596000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004010003,销售及分销费用,17660245000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004010004,行政开支,4120900000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004010006,重估盈余,-1527388000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004010010,研发费用,16613900000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004010999,经营溢利,15613022000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004011200,利息收入,2829429000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004011201,融资成本,-276506000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004011999,除税前溢利,18718957000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004012001,税项,4135784000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004012002,持续经营业务税后利润,14583173000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004012999,除税后溢利,14583173000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004025001,少数股东损益,-49294000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004025002,股东应占溢利,14632467000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004027002,每股基本盈利,0.59
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004027003,每股摊薄盈利,0.57
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004030997,其他全面收益其他项目,-663808000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004030999,其他全面收益,-663808000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004039999,全面收益总额,13919365000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004040001,非控股权益应占全面收益总额,-62604000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,13981969000.0
01810.HK,01810,小米集团-W,10932245,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004099999,非运算项目,-202795887000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004001001,营业额,164394650000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004001999,营运收入,164394650000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004005002,销售成本,129170756000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004007999,毛利,35223894000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004010001,其他收入,444653000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004010002,其他收益,480084000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004010003,销售及分销费用,11380099000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004010004,行政开支,2705531000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004010006,重估盈余,-2075902000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004010010,研发费用,10657116000.0
01810.HK,01810,小米集团-W,10932245,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004010012,其他支出,-241776000.0
