日期,开盘,收盘,最高,最低,成交量,成交额,trend_sma_20,trend_sma_50,trend_ema_12,trend_ema_26,trend_macd,trend_macd_signal,trend_macd_hist,momentum_rsi_14,momentum_stoch_k,momentum_stoch_d,momentum_stoch_j,volatility_bbands_upper,volatility_bbands_middle,volatility_bbands_lower,volatility_atr_14,volume_obv,volume_ad,volume_vwap
2024-07-16,16.24,16.34,16.4,16.14,66641300,1085631888.0,17.075999999999983,17.87,16.681614244400595,17.038625221983782,-0.3570109775831867,-0.32628159083505104,-0.030729386748135634,39.73716553260391,24.62823725981636,25.255283414709425,23.374144950030228,18.579467991012937,17.075999999999983,15.572532008987027,0.5484240177190681,6907546595.0,-1612929492.2895875,17.029270177604097
2024-07-17,16.48,16.78,16.94,16.26,71347036,1193314880.0,17.04599999999998,17.842,16.696750514492813,17.01946779813313,-0.32271728364031915,-0.32556872939610465,0.0028514457557854977,46.496565287901106,26.970474967907762,26.667779871800807,27.575865160121673,18.547950731549015,17.04599999999998,15.544049268450948,0.5578223021677061,6978893631.0,-1575157532.0542934,17.029122325519904
2024-07-18,16.68,16.84,17.04,16.6,69357199,1171104704.0,16.963999999999977,17.8168,16.718788896878532,17.00617388716031,-0.287384990281776,-0.31793198157323893,0.030546991291462933,47.363583359876955,42.902678357738274,31.500463528487433,65.70710801623997,18.315360795643084,16.963999999999977,15.61263920435687,0.5494064234414412,7048250830.0,-1568852332.1452026,17.029043555720172
2024-07-19,16.6,16.52,16.76,16.36,70888406,1171657344.0,16.86399999999998,17.7884,16.68820598966645,16.970161006629915,-0.28195501696346525,-0.3107365886512842,0.02878157168781892,43.33061553867961,51.19884249689974,40.35733194084856,72.88186360900211,18.022177879257303,16.86399999999998,15.705822120742656,0.5444488217670526,6977362424.0,-1583030013.345203,17.02885180927967
2024-07-22,16.56,17.22,17.32,16.54,117875122,2015863024.0,16.81599999999998,17.750799999999998,16.77002045279469,16.988667598731404,-0.21864714593671408,-0.29231870010837013,0.07367155417165605,52.798786912305914,66.88735875706227,53.66295987056674,93.33615653005336,17.821552584403694,16.81599999999998,15.810447415596267,0.5627024773551202,7095237546.0,-1495379281.6016135,17.028850365899995
2024-07-23,17.3,16.96,17.44,16.86,64433875,1099035024.0,16.76299999999998,17.7068,16.79924807544166,16.98654407289945,-0.18729599745778813,-0.2713141595782537,0.08401816212046559,49.49124051064703,66.19325060532698,61.426483953096316,75.72678390978832,17.608058577851832,16.76299999999998,15.917941422148129,0.5639380146868975,7030803671.0,-1537594579.0154064,17.028871234168253
2024-07-24,16.94,16.54,17.04,16.32,91652264,1518926416.0,16.70099999999998,17.6496,16.759363756142942,16.953466734166156,-0.19410297802321352,-0.25587192326724567,0.06176894524403215,44.627754587694305,64.53869047619055,65.87309994619325,61.86987153618517,17.409403839628776,16.70099999999998,15.992596160371182,0.575085299352119,6939151407.0,-1573237126.1265178,17.028668264918153
2024-07-25,16.4,16.2,16.48,16.12,72854684,1180704480.0,16.61999999999998,17.5864,16.67330779365941,16.897654383487183,-0.22434658982777123,-0.2495668565793508,0.025220266751579568,41.10615115582246,37.61904761904773,56.116996233521746,0.6231503900996813,17.14474755835638,16.61999999999998,16.09525244164358,0.5640077779698247,6866296723.0,-1613711950.570963,17.028357569253874
2024-07-26,16.32,16.36,16.62,16.32,64273609,1056388224.0,16.61099999999998,17.514,16.625106594634886,16.8578281328585,-0.23272153822361474,-0.2461977929082036,0.013476254684588851,43.37080359830664,23.33333333333343,41.83035714285723,-13.660714285714164,17.146981342959723,16.61099999999998,16.075018657040236,0.5537215081148373,6930570332.0,-1660845930.5042965,17.028143609060955
2024-07-29,16.62,16.82,17.1,16.56,82843861,1396452032.0,16.62799999999998,17.454,16.65509019546029,16.855026048943056,-0.1999358534827671,-0.23694540502311628,0.037009551540349184,49.39560074133515,30.000000000000114,30.317460317460416,29.36507936507951,17.167837012440902,16.62799999999998,16.088162987559055,0.5670271146780633,7013414193.0,-1663914221.6524446,17.02805027286775
