日期,类型,价格,实际价格,数量,金额,手续费,原因,收入,印花税,盈亏,盈亏率,成本价
2025-07-01,buy,1405.1,1406.5050999999999,700,984553.57,295.366071,signal,,,,,
2025-04-17,sell,1570.0,1568.43,600,,282.31739999999996,signal,941058.0,941.058,77979.63060000015,9.047882897108346,1436.4249899999998
2025-01-27,buy,1434.99,1436.4249899999998,600,861854.9939999998,258.5564981999999,signal,,,,,
2024-09-12,sell,1339.5461604524999,1338.2066142920473,600,,240.87719057256848,stop_loss,802923.9685752284,802.9239685752284,-44995.86258391931,-5.313158123500003,1411.46005
2024-08-22,buy,1410.05,1411.46005,600,846876.0299999999,254.06280899999996,signal,,,,,
2024-07-30,sell,1368.0176319809998,1366.6496143490187,600,,245.99693058282332,stop_loss,819989.7686094112,819.9897686094113,-45952.230089780875,-5.313158123500005,1441.4600199999998
2024-07-24,buy,1440.02,1441.4600199999998,600,864876.0119999999,259.4628035999999,signal,,,,,
