报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2025-09-30,,21.85亿,73.97亿,50.04亿,1.80亿,7127.58万,,73.97亿,73.97亿,50.04亿,45.14亿,3489.00万,717.80万,4.05亿,2977.86万,-2.25亿,4.81亿,1.58亿,2.41亿,-237.15万,1342.46万,3.36亿,3.49亿,2.73万,1.52亿,28.95亿,637.55万,False,1596.59万,False,28.85亿,7.00亿,21.85亿,21.85亿,1.80亿,20.05亿,7127.58万,,0.11,0.11,4.93亿,2.94亿,26.79亿,4.74亿,22.05亿
2025-06-30,,15.12亿,48.33亿,31.33亿,8441.06万,132.00万,,48.33亿,48.33亿,31.33亿,29.13亿,2002.47万,490.88万,2.67亿,1842.98万,-2.68亿,3.24亿,1.11亿,1.85亿,-740.12万,-374.52万,2.05亿,2.21亿,-51.05万,1.33亿,20.33亿,610.63万,False,438.43万,False,20.34亿,5.22亿,15.12亿,15.12亿,8441.06万,14.28亿,132.00万,,0.05,0.05,1.28亿,-9113.40万,16.40亿,-672.34万,16.47亿
2025-03-31,,7.82亿,25.84亿,16.84亿,1.04亿,4442.55万,,25.84亿,25.84亿,16.84亿,14.39亿,991.81万,184.36万,1.78亿,883.29万,2723.61万,1.59亿,4753.05万,2079.20万,-112.90万,27.16万,1.52亿,1.69亿,52.97万,4784.07万,11.01亿,74.07万,False,463.31万,False,10.97亿,3.15亿,7.82亿,7.82亿,1.04亿,6.78亿,4442.55万,,0.06,0.06,-1.98亿,-2.19亿,5.85亿,-1.15亿,7.00亿
2024-12-31,,-2924.23万,130.63亿,108.77亿,-79.05亿,-79.23亿,,130.63亿,130.63亿,108.77亿,70.45亿,5854.58万,1631.62万,6.50亿,4362.07万,8.99亿,6.01亿,2.65亿,21.14亿,5097.53万,507.83万,-8.40亿,-8.09亿,False,8002.29万,14.32亿,1093.52万,False,1.51亿,False,12.92亿,13.21亿,-2924.23万,-2924.23万,-79.05亿,78.75亿,-79.23亿,,-4.82,-4.82,5177.33万,4.54亿,2253.10万,-74.51亿,74.73亿
2024-09-30,,17.34亿,100.65亿,61.77亿,-57.01亿,-57.37亿,,100.65亿,100.65亿,61.77亿,51.30亿,3702.66万,1208.95万,4.40亿,2907.62万,7787.08万,4.75亿,2.29亿,4.45亿,557.46万,-700.20万,-9.01亿,-8.99亿,False,5022.74万,30.30亿,158.78万,False,2842.87万,False,30.04亿,12.69亿,17.34亿,17.34亿,-57.01亿,74.35亿,-57.37亿,,-3.48,-3.48,-5.37亿,-1.30亿,11.97亿,-58.32亿,70.29亿
2024-06-30,,4.63亿,64.19亿,39.68亿,-52.06亿,-52.21亿,,64.19亿,64.19亿,39.68亿,30.93亿,2338.81万,839.16万,2.87亿,1922.42万,2.29亿,2.89亿,1.79亿,2.92亿,1517.68万,-403.66万,-11.21亿,-11.29亿,False,2934.61万,13.55亿,125.97万,False,1416.05万,False,13.42亿,8.79亿,4.63亿,4.63亿,-52.06亿,56.69亿,-52.21亿,,-3.18,-3.18,-2179.22万,4.58亿,4.41亿,-47.48亿,51.89亿
2024-03-31,,-8.31亿,25.85亿,17.84亿,-38.97亿,-39.17亿,,25.85亿,25.85亿,17.84亿,13.34亿,960.79万,376.30万,1.20亿,866.52万,2.54亿,1.42亿,1.05亿,5664.61万,-306.18万,503.55万,-13.27亿,-13.88亿,False,682.26万,-5.14亿,840.71万,False,127.17万,False,-5.07亿,3.23亿,-8.31亿,-8.31亿,-38.97亿,30.66亿,-39.17亿,,-2.38,-2.38,-4.78亿,1.84亿,-13.09亿,-37.12亿,24.03亿
2023-12-31,,256.63亿,405.03亿,74.96亿,72.97亿,71.77亿,,405.03亿,405.03亿,74.96亿,60.82亿,7897.57万,3377.17万,6.05亿,3037.49万,1604.64万,5.50亿,3.56亿,7.30亿,-7922.57万,-27.92万,31.10亿,31.17亿,802.61万,1.71亿,362.96亿,2616.77万,False,4095.00万,False,362.81亿,106.18亿,256.63亿,256.63亿,72.97亿,183.66亿,71.77亿,,4.45,4.45,3.87亿,2.29亿,260.50亿,75.26亿,185.24亿
2023-09-30,,223.70亿,333.99亿,49.94亿,80.99亿,79.82亿,,333.99亿,333.99亿,49.94亿,44.64亿,5173.65万,2700.50万,4.91亿,2094.06万,-9290.19万,4.05亿,2.56亿,9184.88万,-5946.79万,False,31.25亿,31.09亿,781.24万,1.45亿,316.84亿,2202.74万,False,759.03万,False,316.98亿,93.28亿,223.70亿,223.70亿,80.99亿,142.72亿,79.82亿,,4.93,4.93,5.23亿,6.10亿,228.93亿,87.09亿,141.85亿
2023-06-30,,164.89亿,248.23亿,35.26亿,64.52亿,64.10亿,,248.23亿,248.23亿,35.26亿,31.97亿,4130.86万,2177.21万,3.50亿,1463.00万,-888.31万,2.39亿,1.71亿,False,-8959.20万,False,20.57亿,20.40亿,1.17万,5661.73万,234.10亿,1260.73万,False,285.51万,False,234.20亿,69.31亿,164.89亿,164.89亿,64.52亿,100.37亿,64.10亿,,3.93,3.93,12.86亿,11.55亿,177.75亿,76.07亿,101.68亿
