报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,流动资产,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,其他应收款合计,其中：应收利息,其他应收款,存货,其他流动资产,总现金,流动资产合计,非流动资产,可供出售金融资产,持有至到期投资,长期股权投资,其他权益工具投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,固定资产清理,在建工程合计,其中：在建工程,工程物资,无形资产,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,流动负债,短期借款,以公允价值计量且其变动计入当期损益的金融负债,应付票据及应付账款,其中：应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,其中：应付利息,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,长期应付款合计,其中：长期应付款,专项应付款,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,负债合计,所有者权益（或股东权益）,实收资本（或股本）,资本公积,减：库存股,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
2020-03-31,,79.06亿,432.30亿,353.24亿,60.81亿,,,12.45亿,False,6.17亿,False,6.17亿,1665.36万,1.67亿,107.45万,False,9.26亿,8177.26万,12.45亿,33.46亿,,False,False,256.73亿,5042.98万,5.78亿,False,37.71亿,False,False,58.58亿,False,False,28.46亿,4.16亿,410.27万,6.10亿,7721.86万,398.83亿,432.30亿,,28.48亿,3.11亿,12.84亿,3.29亿,9.54亿,False,1.73亿,6889.29万,4.10亿,4.07亿,False,False,False,136.39亿,False,191.40亿,,131.36亿,21.04亿,3333.78万,False,False,2.94亿,5.19亿,7289.50万,False,161.84亿,353.24亿,,14.77亿,67.71亿,False,-11.99亿,3.78亿,-13.74亿,60.81亿,18.24亿,79.06亿,432.30亿
2019-12-31,,89.09亿,465.97亿,376.87亿,69.63亿,,,44.39亿,4786.49万,3.52亿,False,3.52亿,1371.83万,1.52亿,False,3123.54万,9.17亿,7685.72万,44.87亿,64.43亿,,False,False,251.53亿,5042.98万,2.89亿,False,41.84亿,41.84亿,False,63.38亿,63.38亿,False,31.16亿,4.16亿,431.87万,5.25亿,7860.99万,401.54亿,465.97亿,,31.91亿,1.40亿,17.72亿,5.73亿,11.99亿,1.77亿,False,7938.95万,5.49亿,2470.87万,False,False,2470.87万,164.03亿,False,223.37亿,,122.55亿,20.71亿,3839.68万,3839.68万,False,3.27亿,5.55亿,7524.66万,False,153.51亿,376.87亿,,14.77亿,67.71亿,False,-8.16亿,3.78亿,-8.74亿,69.63亿,19.46亿,89.09亿,465.97亿
2019-09-30,,120.93亿,488.21亿,367.28亿,101.63亿,,,17.38亿,1.87亿,7.27亿,3.95亿,3.32亿,2787.57万,3881.19万,False,False,8.59亿,8856.39万,19.25亿,36.66亿,,False,False,311.08亿,5042.98万,False,False,16.49亿,False,False,80.16亿,False,False,29.89亿,4.16亿,False,7.66亿,1.61亿,451.55亿,488.21亿,,24.38亿,6698.45万,14.99亿,4.61亿,10.38亿,1.29亿,False,5988.79万,2.50亿,2.39亿,2.23亿,181.60万,False,6.52亿,False,53.33亿,,282.08亿,23.95亿,False,False,False,2.38亿,4.73亿,5340.64万,False,313.95亿,367.28亿,,11.42亿,42.05亿,False,-8.37亿,3.26亿,53.01亿,101.63亿,19.29亿,120.93亿,488.21亿
2019-06-30,,119.27亿,467.77亿,348.50亿,101.30亿,,,17.68亿,7062.00万,8.53亿,3.15亿,5.38亿,3115.64万,4971.46万,False,4971.46万,7.26亿,1.24亿,18.38亿,36.22亿,,False,False,303.71亿,5042.98万,False,False,16.50亿,16.50亿,False,68.83亿,68.83亿,False,30.21亿,4.16亿,False,5.92亿,1.71亿,431.54亿,467.77亿,,25.33亿,5705.73万,13.33亿,3.89亿,9.44亿,7325.86万,False,5277.86万,2.25亿,1.18亿,6980.74万,195.74万,4659.82万,6.51亿,False,50.44亿,,267.20亿,23.34亿,False,False,False,2.25亿,4.48亿,5186.90万,False,298.06亿,348.50亿,,11.42亿,42.03亿,2588.72万,-8.95亿,3.26亿,53.55亿,101.30亿,17.97亿,119.27亿,467.77亿
2019-03-31,,120.99亿,451.95亿,330.96亿,101.45亿,,,17.63亿,1181.95万,9.79亿,3.59亿,6.20亿,2081.72万,2.47亿,False,False,5.88亿,3.68亿,17.75亿,39.78亿,,False,False,298.32亿,False,False,False,16.54亿,False,False,57.27亿,False,False,30.11亿,4.16亿,False,4.21亿,1.56亿,412.18亿,451.95亿,,21.71亿,2126.45万,11.37亿,False,False,3343.98万,False,5508.16万,3.90亿,2.55亿,2.12亿,138.17万,False,6.65亿,False,47.28亿,,253.98亿,22.91亿,False,False,False,1.94亿,4.07亿,5265.83万,False,283.68亿,330.96亿,,11.42亿,42.08亿,2704.00万,-10.05亿,3.26亿,54.78亿,101.45亿,19.54亿,120.99亿,451.95亿
2018-12-31,,119.37亿,446.34亿,326.97亿,101.36亿,,,19.43亿,1360.91万,11.71亿,5.92亿,5.78亿,2038.22万,4424.41万,False,4424.41万,5.61亿,1.15亿,19.57亿,38.68亿,,False,False,304.08亿,False,False,False,16.80亿,16.80亿,False,46.99亿,46.99亿,False,30.54亿,4.16亿,False,2.80亿,2.28亿,407.66亿,446.34亿,,19.41亿,929.22万,11.29亿,2.31亿,8.98亿,7153.58万,False,6772.66万,3.96亿,4206.75万,False,138.17万,4068.58万,7.31亿,False,43.87亿,,253.26亿,23.28亿,False,False,False,1.96亿,3.80亿,5344.77万,False,283.09亿,326.97亿,,11.42亿,42.03亿,2704.00万,-8.96亿,3.26亿,53.67亿,101.36亿,18.01亿,119.37亿,446.34亿
2018-09-30,,119.65亿,207.62亿,87.97亿,101.96亿,,,35.84亿,97.96万,12.97亿,7.82亿,5.15亿,6339.65万,4445.61万,False,False,5.01亿,10.69亿,35.85亿,65.59亿,,17.35亿,False,6.98亿,False,False,False,13.91亿,13.91亿,False,43.33亿,43.33亿,False,29.13亿,4.16亿,False,1.74亿,25.43亿,142.03亿,207.62亿,,16.29亿,1303.85万,11.95亿,False,False,7565.36万,False,7033.53万,3.07亿,1.36亿,False,False,False,273.23万,1648.36万,34.44亿,,18.79亿,29.30亿,False,False,False,1.26亿,3.61亿,5326.21万,False,53.54亿,87.97亿,,11.42亿,42.01亿,5395.79万,-2.94亿,1.05亿,50.77亿,101.96亿,17.69亿,119.65亿,207.62亿
2018-06-30,,113.10亿,187.15亿,74.05亿,97.36亿,,,28.27亿,221.18万,16.02亿,12.30亿,3.72亿,3957.23万,5569.60万,536.37万,5033.23万,4.56亿,6.13亿,28.29亿,55.95亿,,17.54亿,False,6.98亿,False,False,False,13.82亿,13.82亿,False,34.70亿,34.70亿,False,28.69亿,4.16亿,False,1.80亿,23.51亿,131.20亿,187.15亿,,6.71亿,1423.09万,7.59亿,2.43亿,5.16亿,5308.24万,False,6087.67万,3.71亿,9862.20万,3089.94万,274.30万,6497.96万,177.35万,1213.03万,20.42亿,,19.65亿,28.51亿,False,False,False,1.23亿,3.68亿,5397.64万,False,53.64亿,74.05亿,,11.42亿,42.03亿,5395.79万,-3.73亿,1.05亿,46.97亿,97.36亿,15.74亿,113.10亿,187.15亿
2018-03-31,,106.92亿,179.76亿,72.84亿,92.38亿,,,49.02亿,6500.00,16.84亿,12.61亿,4.23亿,4051.26万,8920.74万,2362.24万,5104.85万,4.63亿,8.77亿,49.02亿,80.55亿,,17.05亿,False,6.53亿,False,False,False,14.02亿,14.02亿,False,26.10亿,26.10亿,False,28.65亿,4.16亿,False,1.67亿,1.02亿,99.21亿,179.76亿,,6.50亿,4342.15万,6.32亿,1.87亿,4.45亿,1.06亿,False,6325.70万,4.88亿,1.26亿,5340.11万,143.98万,7162.58万,2.18亿,1273.95万,23.40亿,,16.34亿,27.52亿,False,False,False,1.21亿,3.79亿,5369.08万,False,49.43亿,72.84亿,,11.42亿,42.00亿,5395.79万,-4.45亿,1.05亿,42.76亿,92.38亿,14.54亿,106.92亿,179.76亿
2017-12-31,,106.35亿,178.40亿,72.05亿,90.70亿,,,55.24亿,3.52万,16.11亿,12.86亿,3.24亿,1904.49万,7843.83万,2271.81万,4026.33万,4.77亿,1.56亿,55.24亿,78.65亿,,21.40亿,False,6.60亿,False,False,False,14.67亿,14.67亿,False,19.51亿,19.51亿,False,30.14亿,4.16亿,False,2.00亿,1.26亿,99.75亿,178.40亿,,8.42亿,265.78万,6.74亿,1.08亿,5.66亿,1.92亿,False,9124.89万,3.98亿,9775.80万,2577.96万,143.98万,7053.86万,2.27亿,603.93万,25.30亿,,14.33亿,25.27亿,False,False,False,1.27亿,5.45亿,4039.52万,False,46.75亿,72.05亿,,11.42亿,41.90亿,5395.79万,5978.60万,1.05亿,36.16亿,90.70亿,15.65亿,106.35亿,178.40亿
