日期,类型,价格,实际价格,数量,金额,手续费,原因,收入,印花税,盈亏,盈亏率,成本价
2025-06-27,sell,19.5,19.4805,72400,,423.11645999999996,signal,1410388.2,1410.3881999999999,513520.5553400003,57.37440980072564,12.362349999999998
2024-10-18,buy,12.35,12.362349999999998,72400,895034.1399999998,268.5102419999999,signal,,,,,
2024-05-24,sell,14.591985407999998,14.577393422591998,61500,,268.9529086468223,stop_loss,896509.6954894079,896.5096954894079,-50240.40711472812,-5.31315812349999,15.375359999999997
2024-05-22,buy,15.36,15.375359999999997,61500,945584.6399999998,283.67539199999993,signal,,,,,
2024-05-10,sell,14.905485094499996,14.890579609405496,63600,,284.11225894745684,stop_loss,947040.8631581896,947.0408631581896,-53072.173963915906,-5.313158123500006,15.705689999999997
2024-05-07,buy,15.69,15.705689999999997,63600,998881.8839999998,299.6645651999999,signal,,,,,
