日期,开盘,收盘,最高,最低,成交量,MACD_DIF,MACD_DEA,MACD_HIST,DAILY_KDJ_K,DAILY_KDJ_D,DAILY_KDJ_J,RSI,BOLL_UPPER,BOLL_MIDDLE,BOLL_LOWER,ATR,CCI,MA5,MA10,MA20,MA30,MA60,MA120,EMA12,EMA26,VOLUME_MA5,VOLUME_MA10,VOLUME_MA20,BBI,WR,MTM,OBV
2025-04-16,27.95,27.55,27.95,27.24,116786.0,-1.267704708763862,-1.1191219284740663,-0.2971655605795913,38.84316820363183,33.432594179318656,49.66431625225819,20.634920634920604,33.412180907916735,29.662,25.911819092083263,0.9135714285714288,-82.9902902471219,27.774,28.113,29.662,30.706666666666667,31.60166666666667,33.99825,28.52186335756209,29.789568066325955,143841.4,162141.1,145652.05,28.54072916666666,-65.07936507936506,-3.009999999999998,21765536.15
2025-04-15,28.18,27.95,28.31,27.86,95226.0,-1.2701677254222865,-1.0819762334016174,-0.3763829840413382,38.621895162590604,30.72730716716207,54.41107115344767,22.42833052276559,33.78762250699922,29.925,26.06237749300078,0.8857142857142859,-76.54446201115651,27.678000000000004,28.413,29.925,30.89466666666667,31.68066666666667,34.04658333333334,28.69856578620974,29.96873351163203,174245.4,161342.7,148152.1,28.651562499999994,-59.52380952380953,-3.039999999999999,21882322.15
2025-04-14,28.15,28.06,28.4,28.02,140652.0,-1.2955635361328994,-1.03492836039645,-0.5212703514728987,35.39496395600713,26.780013169447802,52.62486552912579,23.50936967632022,34.13728317008631,30.173000000000002,26.208716829913687,0.8821428571428572,-83.75459637202138,27.502,28.65,30.173000000000002,31.10033333333333,31.7315,34.0785,28.834668656429695,30.130232192562595,198574.2,164261.8,154937.05,28.702708333333327,-57.65306122448981,-3.1900000000000013,21977548.15
2025-04-11,27.25,27.75,27.95,27.23,153472.0,-1.320333264914325,-0.9697695664623376,-0.7011273969039746,29.512900479465273,22.47253777616814,43.59362588605954,18.25938566552898,34.37809706351626,30.401,26.423902936483746,0.8892857142857145,-119.25456951747297,27.336000000000002,28.9,30.401,31.24566666666667,31.798333333333336,34.113,28.975517503053275,30.295850767967604,218524.8,161167.6,159362.0,28.830520833333328,-63.23777403035413,-3.469999999999999,21836896.15
2025-04-10,27.88,27.56,27.98,27.44,213071.0,-1.3011799621602265,-0.8821286418493407,-0.8381026406217715,23.625411325258526,18.952356424519575,32.97152112673643,13.814756671899474,34.4572795376762,30.618000000000002,26.778720462323808,0.8971428571428574,-138.91857565478685,27.838,29.224,30.618000000000002,31.435,31.871333333333336,34.155499999999996,29.19833886724478,30.499518829405012,204928.6,158515.6,161633.65,29.021979166666657,-70.12012012012013,-3.610000000000003,21683424.15
2025-04-09,26.35,27.07,27.25,25.57,268806.0,-1.2384616744681267,-0.7773658117716191,-0.9221917253930152,17.510189059959878,16.6158289741501,19.29890923157943,6.372549019607803,34.50500589312706,30.864500000000003,27.223994106872944,0.8542857142857141,-214.62220657513134,28.451999999999998,29.593,30.864500000000003,31.617,31.962666666666667,34.208083333333335,29.496218661289284,30.734680335757414,180440.8,147116.4,158894.5,29.253645833333326,-78.03806734992679,-4.399999999999999,21470353.15
2025-04-08,26.85,27.07,27.7,26.57,216870.0,-1.0905054356397628,-0.6620918460974923,-0.856827179084541,13.037770362426588,16.168648931245215,6.776013224789338,5.981595092024492,34.41363697671595,31.15,27.886363023284048,0.7735714285714287,-238.7553371936599,29.148000000000003,30.008,31.15,31.801333333333332,32.050333333333334,34.26091666666667,29.937349326978243,31.027854762618006,148440.0,130275.2,157027.25,29.806458333333325,-91.84339314845025,-5.100000000000001,21470353.15
2025-04-07,28.0,27.23,28.77,27.23,240405.0,-0.8857975753804332,-0.5549884487119245,-0.6616182533370174,14.43370472396775,17.73408821565453,7.83293774059419,6.037151702786346,34.19662663912208,31.45,28.70337336087792,0.735,-243.71655586184497,29.798000000000002,30.418,31.45,31.983333333333334,32.126333333333335,34.337666666666664,30.458685568247013,31.344483143627446,129949.4,124862.9,156716.9,30.418541666666663,-100.0,-5.179999999999996,21687223.15
2025-04-03,30.2,30.26,30.61,30.18,85491.0,-0.6279224871893518,-0.4722861670447973,-0.31127264028910906,21.650557085951622,19.38427996149792,26.183111334859028,18.279569892473063,33.74674968874988,31.744,29.741250311250116,0.5678571428571431,-104.64335835011313,30.464,30.841999999999995,31.744,32.16366666666667,32.21233333333333,34.40575,31.045719307928287,31.673641795117643,103810.4,118476.8,160812.85,31.031562499999993,-89.91097922848664,-2.5500000000000007,21927628.15
2025-04-02,30.55,30.63,30.85,30.33,90632.0,-0.5981557748118007,-0.4333770870086587,-0.32955737560628406,21.71634195804135,18.25114139927107,28.64674307558191,31.185567010309157,33.878056450809375,31.894,29.909943549190622,0.5742857142857145,-98.19333719186218,30.609999999999996,31.032999999999998,31.894,32.23266666666667,32.258,34.47625,31.18857736391525,31.786733138727055,112102.6,121798.6,168968.35,31.153437499999995,-78.93175074183982,-2.2799999999999976,22013119.15
