代码,简称,基本每股收益增长率-3年复合,基本每股收益增长率-24A,基本每股收益增长率-TTM,基本每股收益增长率-25E,基本每股收益增长率-26E,基本每股收益增长率-27E,营业收入增长率-3年复合,营业收入增长率-24A,营业收入增长率-TTM,营业收入增长率-25E,营业收入增长率-26E,营业收入增长率-27E,净利润增长率-3年复合,净利润增长率-24A,净利润增长率-TTM,净利润增长率-25E,净利润增长率-26E,净利润增长率-27E,基本每股收益增长率-3年复合排名
行业中值,行业中值,6.36,5.96,-16.55,-6.9,9.13,11.46,5.52,3.19,-8.58,-9.215,5.475,7.33,5.43,5.69,-17.24,-7.8,9.83,11.075,
行业平均,行业平均,-17.537435897436,-22.645641025641,-12.698205128205,1.045,17.354230769231,5.636923076923,4.214358974359,-1.522051282051,-10.616153846154,-7.705769230769,6.366153846154,8.593076923077,-14.382051282051,-24.959743589744,-16.452564102564,0.927692307692,16.003076923077,5.234230769231,
000729,燕京啤酒,66.67,63.76,57.46,47.76,19.3,14.88,7.03,3.2,4.17,5.21,4.74,4.23,65.35,54.87,53.88,44.11,18.42,14.78,1.0
000995,皇台酒业,58.74,300.0,-150.15,,,,23.7,11.87,-5.65,,,,59.08,283.96,-153.57,,,,2.0
000752,ST西发,54.04,201.64,185.17,,,,2.37,25.11,14.51,,,,107.46,351.42,106.27,,,,3.0
600616,金枫酒业,35.72,-93.75,159.59,,,,-3.82,0.87,-2.35,,,,31.37,-95.62,156.47,,,,4.0
200596,古井贡B,32.88,20.28,-14.34,,,,21.12,16.41,-10.42,,,,33.95,20.74,-14.34,,,,6.0
600519,贵州茅台,18.02,15.38,9.22,6.26,6.22,6.77,17.19,15.71,8.1,6.1,6.04,6.49,17.04,15.24,8.72,5.95,6.07,6.67,15.0
