代码,简称,ROE-3年平均,ROE-22A,ROE-23A,ROE-24A,净利率-3年平均,净利率-22A,净利率-23A,净利率-24A,总资产周转率-3年平均,总资产周转率-22A,总资产周转率-23A,总资产周转率-24A,权益乘数-3年平均,权益乘数-22A,权益乘数-23A,权益乘数-24A,ROE-3年平均排名
行业中值,行业中值,6.935,6.92,9.62,7.425,12.96,12.06,12.74,12.345,47.525,46.97,49.395,43.13,142.51,144.335,141.36,145.03,
行业平均,行业平均,10.04,10.68,11.07,8.37,4.14,-6.28,11.77,6.92,48.32,48.58,50.18,46.21,172.3,168.26,169.0,179.63,
600132,重庆啤酒,65.68,66.32,63.7,67.03,17.36,18.43,18.3,15.36,120.44,116.84,119.07,125.41,377.05,344.95,339.17,447.02,1.0
600809,山西汾酒,41.97,44.31,42.47,39.12,32.64,31.12,32.76,34.03,77.17,78.67,79.04,73.8,158.88,168.73,155.95,151.96,2.0
600519,贵州茅台,35.67,32.41,36.18,38.43,52.48,52.68,52.49,52.27,56.03,50.05,57.12,60.93,123.21,124.18,121.93,123.53,3.0
600779,水井坊,33.41,39.93,32.31,27.99,25.78,26.02,25.62,25.71,65.18,72.23,64.03,59.29,190.77,203.78,191.72,176.81,4.0
000568,泸州老窖,32.9,33.3,35.04,30.35,42.89,41.44,43.95,43.27,51.08,53.12,52.73,47.4,148.64,149.69,152.4,143.84,5.0
603198,迎驾贡酒,28.04,26.32,29.58,28.23,33.49,31.03,34.12,35.33,59.47,58.58,61.72,58.12,139.7,144.42,139.05,135.63,6.0
