指标,参数组合1,参数组合2,参数组合3,参数组合4,参数组合5,参数组合6,参数组合7,参数组合8,参数组合9,参数组合10
参数_bb_period,25,18,26,12,11,22,22,24,18,22
参数_bb_std,1.7527026368386183,1.2606653621777,1.438465226826013,1.7970235595556274,2.1385984039468724,1.9951491086347652,1.6972005886473116,1.785649027560406,1.2207561278862784,2.283153385257014
参数_j_overbought,96,90,97,88,85,85,94,104,90,93
参数_j_oversold,14,29,26,17,29,10,30,10,15,13
参数_volume_multiplier,1.0626265849111172,1.1812128690656416,1.8916655057071825,2.301776945897706,2.9844231185824355,2.0495493205167783,2.7198808134726415,2.126576435691079,2.3665270376509167,1.3644721755761247
夏普比率,2.109,0.223,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.537
总收益率,161.55%,9.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-5.34%
年化收益率,66.85%,5.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-2.88%
最大回撤,15.06%,14.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.34%
胜率,66.67%,37.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
总交易次数,6,8,0,0,0,0,0,0,0,1
盈亏比,3.724,2.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
卡尔玛比率,4.440,0.356,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.539
年化波动率,25.468210009348386,13.896630527799386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.888263677398909
最终资金,2615522.7732598847,1096669.0440940391,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,946592.968332451
