日期,类型,价格,实际价格,数量,金额,手续费,原因,收入,印花税,盈亏,盈亏率,成本价
2025-05-15,buy,29.39,29.419389999999996,40900,1203253.0509999997,360.9759152999999,signal,,,,,
2024-12-11,sell,37.16,37.12284,32500,,361.9476899999999,signal,1206492.2999999998,1206.4923,258553.43500999978,27.320532022120176,29.119089999999996
2024-09-26,buy,29.09,29.119089999999996,32500,946370.4249999999,283.91112749999996,signal,,,,,
2024-03-22,sell,50.577949421999996,50.527371472578,18700,,283.4585539611625,stop_loss,944861.8465372085,944.8618465372085,-52950.0618632898,-5.313158123500003,53.29324
2024-03-13,buy,53.24,53.29324,18700,996583.588,298.9750764,signal,,,,,
